ID_FB,VOL_REEL_ABA_M3,COUT_TOTAL_ABA,COUT_ABA_TERRE_M3,VOL_REEL_DEB_M3,COUT_TOTAL_DEB,COUT_DEB_TERRE_M3,VOL_REF
FB230000250,1524.7000000000003,8622.06,5.6549222797927445,1524.7000000000003,5938.7,3.8949957368662678,1524.7000000000003
FB230002266,19.88,304.16,15.29979879275654,19.88,152.08,7.64989939637827,19.88
FB230002364,600.1800000000001,6192.12,10.317104868539436,600.1800000000001,4375.31,7.289996334433003,600.1800000000001
FB230003231,203,2888.69,14.23,203.287,1825.52,8.980013478481162,203.287
FB230003236,392,5789.84,14.77,392,4398.24,11.219999999999999,392
FB230003237,514,7314.219999999999,14.229999999999999,514.422,4619.51,8.980000855328893,514.422
FB230004069,33.200000000000045,335.3199999999997,10.099999999999977,1089.6000000000001,6722.83,6.1699981644640225,1089.6000000000001
FB230004600,10.1,121.6,12.03960396039604,10.1,79.29,7.850495049504952,10.1
FB230004672,434.1,4384.41,10.1,434.1,2435.3,5.609997696383322,434.1
FB230005138,1821.463,9107.32,5.000002745046152,NA,NA,NA,NA
FB230005227,506.07,6093.08,12.039994467168574,506.07,3972.65,7.850000988005612,506.07
FB230005420,2.03,31.06,15.30049261083744,2.03,15.53,7.65024630541872,2.03
FB230006337,712.346,7835.8099999999995,11.000005615248769,712.346,4274.08,6.000005615248769,712.346
FB230006385,333,3996,12,333,2091.24,6.279999999999999,333
FB230006615,307.9,3109.79,10.100000000000001,307.9,1727.32,5.61000324780773,307.9
FB230007220,1626.8000000000002,16174.1,9.942279321367101,1626.8,9338,5.740103270223752,1626.8
FB230007607,1546,14748.84,9.540000000000001,1546,8673.06,5.609999999999999,1546
FB230008026,46,460,10,196,1450.8799999999999,7.402448979591836,196
FB230008824,562,5962.82,10.61,562,3990.2,7.1,562
FB230008981,811.4200000000001,9088.390000000001,11.200598949988908,811.4200000000001,5669.8,6.987503389120307,811.4200000000001
FB230009128,596.5,6830.61,11.451148365465214,627.3,5726.84,9.129347999362347,627.3
FB230009134,688.3,6421.84,9.33000145285486,688.3,6015.75,8.740011622838878,688.3
FB230009148,512.916,5385.62,10.500003899273954,512.916,3333.95,6.499992201452089,512.916
FB230009161,163.69,1964.28,12,163.69,1461.75,8.929989614515243,163.69
FB230009466,214,2833.36,13.24,214,2144.28,10.020000000000001,214
FB230009474,415.174,5247.8,12.64000154152235,415.174,3915.09,9.42999802492449,415.174
FB230009499,1123.8,13283.310000000001,11.819994660971705,1123.8,7187.84,6.396013525538352,1123.8
FB230009623,280,3309.6,11.82,280,1960,7,280
FB230009882,167.621,2219.3,13.23998782968721,167.621,1679.56,10.019985562668161,167.621
FB230009885,418,5647.18,13.510000000000002,418,3277.12,7.84,418
FB230011739,2689,25653.059999999998,9.54,2689,15085.289999999999,5.609999999999999,2689
FB230011878,798.39,7859.58,9.844286626836508,1596.78,6414.5,4.017147008354313,1596.78
FB230012556,891.86,10566.22,11.847397573610207,891.86,6233.08,6.988854752988137,891.86
FB230013613,780.77,7734.689999999999,9.906489747300741,1561.54,6306.280000000001,4.0385004546793555,1561.54
FB230013825,1220.47,15614.439999999999,12.793792555327045,1220.47,9060.3,7.423615492392274,1220.47
FB230013834,692.0300000000001,8959.289999999999,12.94638960738696,692.0300000000001,5077.63,7.337297516003641,692.0300000000001
FB230013835,874.03,11305.33,12.934716199672781,874.03,6418.79,7.343901239087903,874.03
FB230013885,595,4135.25,6.95,595,2299.6800000000003,3.865008403361345,595
FB230013895,378.87,3740.69,9.873281072663447,378.87,2676.0600000000004,7.063267083696256,378.87
FB230013899,988.76,7876.93,7.9664731582992845,587.99,4391.29,7.468307284137485,587.99
FB230014333,474.7,5269.17,11.1,474.7,2663.07,5.610006319780915,474.7
FB230014347,190,1919,10.1,190,1172.3,6.17,190
FB230014412,254.2,3174.96,12.490007867820614,254.2,1779.4,7.000000000000001,254.2
FB230014468,42.2,461.67,10.940047393364928,42.2,443.1,10.5,42.2
FB230014478,98.6,1078.68,10.939959432048683,98.6,1133.9,11.500000000000002,98.6
FB230014922,9785.45,112254.85,11.471608357306,3500,15750,4.5,3500
FB230015072,710,6908.3,9.73,710,4473,6.3,710
FB230015093,202.4,2392.37,11.820009881422925,202.4,1356.08,6.699999999999999,202.4
FB230015131,381.1,4954.3,13,381.11,2667.77,7,381.11
FB230015144,726.2,8784.68,12.096777747177086,726.2,5083.4,6.999999999999999,726.2
FB230015202,2900,29000,10,2900,17400,6,2900
FB230015673,136.02,1690.5,12.428319364799293,136.02,1037.88,7.630348478164976,136.02
FB230015700,393.56,4738.46,12.03999390181929,393.56,3089.45,7.850010163634515,393.56
FB230015701,428.16,5155.05,12.040008408071749,428.16,3361.06,7.850009342301942,428.16
FB230015923,26.484,318.87,12.040099682827368,26.46,252.43,9.540060468631896,26.46
FB230016106,1415.723,14072.060000000001,9.93983992631327,1272.781,8909.470000000001,7.000002357043358,1272.781
FB230016391,1177.8500000000001,14715.359999999999,12.493407479730013,1177.8500000000001,8944.03,7.59352209534321,1177.8500000000001
FB230016410,1230.94,7118.16,5.7827026500073115,1140.94,4197.49,3.678975230949918,1140.94
FB230016511,847.6,10552,12.449268522888154,1695.2,6707.8,3.9569372345445966,1695.2
FB230017280,642.71,8027.45,12.49000326741454,642.71,4016.94,6.250003889779216,642.71
FB230017874,830,11454,13.8,830,5644,6.8,830
FB230017876,246.638,3265.49,13.240011677032735,246.638,2471.31,10.019988809510293,246.638
FB230017907,500.5,5518.72,11.026413586413588,812.0600000000001,2934.7400000000002,3.613944782405241,812.0600000000001
FB230017939,1385.8799999999999,7557.14,5.452954079718302,1385.8799999999999,5398.0199999999995,3.8950125551995844,1385.8799999999999
FB230018000,1143.15,14693.64,12.85364125442855,1143.15,8854.060000000001,7.745317762323405,1143.15
FB230018001,892.95,11453.77,12.826888403606025,892.95,6929.54,7.760277731115964,892.95
FB230018004,187.69,2470,13.159997868826256,187.69,1289.43,6.869998401619693,187.69
FB230018060,1134,10818.36,9.540000000000001,1134,6361.74,5.609999999999999,1134
FB230018260,317.9,3737.02,11.755331865366468,317.9,2278.04,7.165901226800881,317.9
FB230018379,717.792,7895.71,10.9999972136775,717.792,5742.34,8.000005572645,717.792
FB230019186,73.58000000000001,846.87,11.509513454743136,73.58000000000001,537.49,7.304838271269365,73.58000000000001
FB230020997,765.64,9325.970000000001,12.180620134789198,765.64,5383.41,7.031254897863225,765.64
FB230020998,426.65,4525.21,10.606375249033166,426.65,2826.25,6.62428219852338,426.65
FB230020999,1009.28,10745.03,10.646232958148383,1009.28,7357.65,7.289998811033608,1009.28
FB230021077,562.23,6474.98,11.516603525247673,562.23,4111.139999999999,7.312203190864947,562.23
FB230021140,504,6239.52,12.38,630,5770.8,9.16,630
FB230021141,400,5628,14.07,394,3014.1,7.6499999999999995,394
FB230022939,906.98,11600.880000000001,12.790667930935633,925.4300000000001,7071.26,7.641053348173282,925.4300000000001
FB230022954,218,2071,9.5,218,1220.8,5.6,218
FB230022976,415.5,4483.4,10.790373044524669,420.2,3155.95,7.510590195145169,420.2
FB230023021,360,3441.6,9.56,360,2926.8,8.13,360
FB230023294,3633.8,26005.27,7.156494578677968,3633.8,20385.62,5.610000550388023,3633.8
FB230023306,1290,13301.97,10.31160465116279,1290,9404.1,7.29,1290
FB230023443,960.101,24002.53,25.00000520778543,NA,NA,NA,NA
FB230024253,1024.1200000000001,10359.84,10.115845799320391,1024.12,5745.31,5.609996875366169,1024.12
FB230024276,3058.31,29396.09,9.611873878056835,3058.31,20802.24,6.801874237732605,3058.31
