"ID_FB","VOL_REEL_ABA_M3","COUT_TOTAL_ABA","COUT_ABA_TERRE_M3","VOL_REEL_DEB_M3","COUT_TOTAL_DEB","COUT_DEB_TERRE_M3","VOL_REF","COUTS_ANNEXES_TOTAL","COUTS_ANNEXES_M3","TARIF_PRESTA_TERRE_M3","TARIF_PRESTA_TERRE_TOT"
"FB230005227",506.07,6093.08,12.0399944671686,506.07,3972.65,7.85000098800561,506.07,0,0,19.8899954551742,10065.73
"FB230005420",2.03,31.06,15.3004926108374,2.03,15.53,7.65024630541872,2.03,0,0,22.9507389162562,46.59
"FB230006337",712.346,7835.81,11.0000056152488,712.346,4274.08,6.00000561524877,712.346,0,0,17.0000112304975,12109.89
"FB230006385",333,3996,12,333,2091.24,6.28,333,0,0,18.28,6087.24
"FB230006615",307.9,3109.79,10.1,307.9,1727.32,5.61000324780773,307.9,0,0,15.7100032478077,4837.11
"FB230007220",1626.8,16174.1,9.9422793213671,1626.8,9338,5.74010327022375,1626.8,0,0,15.6823825915909,25512.1
"FB230007607",1546,14748.84,9.54,1546,8673.06,5.61,1546,0,0,15.15,23421.9
"FB230008026",46,460,10,196,1450.88,7.40244897959184,196,160,0.816326530612245,18.2187755102041,2070.88
"FB230008824",562,5962.82,10.61,562,3990.2,7.1,562,0,0,17.71,9953.02
"FB230008981",811.42,9088.39,11.2005989499889,811.42,5669.8,6.98750338912031,811.42,0,0,18.1881023391092,14758.19
"FB230009128",596.5,6830.61,11.4511483654652,627.3,5726.84,9.12934799936235,627.3,4105,6.54391838036027,27.1244147451878,16662.45
"FB230009134",688.3,6421.84,9.33000145285486,688.3,6015.75,8.74001162283888,688.3,3960,5.75330524480604,23.8233183204998,16397.59
"FB230009148",512.916,5385.62,10.500003899274,512.916,3333.95,6.49999220145209,512.916,0,0,16.999996100726,8719.57
"FB230009161",163.69,1964.28,12,163.69,1461.75,8.92998961451524,163.69,690,4.21528498991997,25.1452746044352,4116.03
"FB230009466",214,2833.36,13.24,214,2144.28,10.02,214,0,0,23.26,4977.64
"FB230009474",415.174,5247.8,12.6400015415224,415.174,3915.09,9.42999802492449,415.174,0,0,22.0699995664468,9162.89
"FB230009499",1123.8,13283.31,11.8199946609717,1123.8,7187.84,6.39601352553835,1123.8,0,0,18.2160081865101,20471.15
"FB230009623",280,3309.6,11.82,280,1960,7,280,0,0,18.82,5269.6
"FB230009882",167.621,2219.3,13.2399878296872,167.621,1679.56,10.0199855626682,167.621,0,0,23.2599733923554,3898.86
"FB230009885",418,5647.18,13.51,418,3277.12,7.84,418,0,0,21.35,8924.3
"FB230011739",2689,25653.06,9.54,2689,15085.29,5.61,2689,0,0,15.15,40738.35
"FB230011878",798.39,7859.58,9.84428662683651,1596.78,6414.5,4.01714700835431,1596.78,0,0,13.8614336351908,14274.08
"FB230012556",891.86,10566.22,11.8473975736102,891.86,6233.08,6.98885475298814,891.86,0,0,18.8362523265983,16799.3
"FB230013613",780.77,7734.69,9.90648974730074,1561.54,6306.28,4.03850045467936,1561.54,0,0,13.9449902019801,14040.97
"FB230013825",1220.47,15614.44,12.793792555327,1220.47,9060.3,7.42361549239227,1220.47,0,0,20.2174080477193,24674.74
"FB230013834",692.03,8959.29,12.946389607387,692.03,5077.63,7.33729751600364,692.03,0,0,20.2836871233906,14036.92
"FB230013835",874.03,11305.33,12.9347161996728,874.03,6418.79,7.3439012390879,874.03,0,0,20.2786174387607,17724.12
"FB230013885",595,4135.25,6.95,595,2299.68,3.86500840336135,595,0,0,10.8150084033613,6434.93
"FB230013895",378.87,3740.69,9.87328107266345,378.87,2676.06,7.06326708369626,378.87,0,0,16.9365481563597,6416.75
"FB230013899",988.76,7876.93,7.96647315829928,587.99,4391.29,7.46830728413749,587.99,0,0,15.4347804424368,12268.22
"FB230014333",474.7,5269.17,11.1,474.7,2663.07,5.61000631978091,474.7,0,0,16.7100063197809,7932.24
"FB230014347",190,1919,10.1,190,1172.3,6.17,190,0,0,16.27,3091.3
"FB230014412",254.2,3174.96,12.4900078678206,254.2,1779.4,7,254.2,0,0,19.4900078678206,4954.36
"FB230014468",42.2,461.67,10.9400473933649,42.2,443.1,10.5,42.2,0,0,21.4400473933649,904.77
