"ACCORD_CADRE","ID_CHANTIER","NUM_SAP","NUM_ETF","AGENCE","CENTRE_PROFIT","POSTE","ARTICLE","LIBELLE_ARTICLE","LIBELLE_POSTE","PU_COMMANDE","UNITE","QUANTITE_COMMANDE","DATE_RECEPTION","QUANTITE_RECEPTION","MONTANT_RECEPTION","ID_LIGNE","TYPE_TRAVAUX"
"2022-2024","MS31_lot1","4501588924",6,8320,832009,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",332.502,2024-02-21,303.976,7599.4,218,"ABATTAGE"
"2022-2024","MS31_lot1","4501588924",6,8320,832009,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",332.502,2024-03-13,28.526,713.15,219,"ABATTAGE"
"2022-2024","MS31_lot2","4501588924",6,8320,832009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",23,"M3",121.861,2024-02-21,121.861,2802.8,224,"ABATTAGE"
"2022-2024","MS31_lot2","4501588924",6,8320,832009,20,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",791.935,2024-02-21,614.935,15373.38,225,"ABATTAGE"
"2022-2024","MS31_lot2","4501588924",6,8320,832009,20,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",791.935,2024-03-13,177,4425,226,"ABATTAGE"
"2022-2024","MS31_lot2","4501588924",6,8320,832009,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",332.502,2024-02-21,303.976,7599.4,227,"ABATTAGE"
"2022-2024","MS31_lot2","4501588924",6,8320,832009,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",332.502,2024-03-13,28.526,713.15,228,"ABATTAGE"
"2022-2024","MS31_lot4","4501588924",6,8320,832009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",23,"M3",121.861,2024-02-21,121.861,2802.8,233,"ABATTAGE"
"2022-2024","MS31_lot4","4501588924",6,8320,832009,20,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",791.935,2024-02-21,614.935,15373.38,234,"ABATTAGE"
"2022-2024","MS31_lot4","4501588924",6,8320,832009,20,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",791.935,2024-03-13,177,4425,235,"ABATTAGE"
"2022-2024","MS31_lot4","4501588924",6,8320,832009,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",332.502,2024-02-21,303.976,7599.4,236,"ABATTAGE"
"2022-2024","MS31_lot4","4501588924",6,8320,832009,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GAVRE P 33-89-98",25,"M3",332.502,2024-03-13,28.526,713.15,237,"ABATTAGE"
"2022-2024","MS32","4501585336",6,8320,832006,30,"04-EXPL-AST01","Abattage-façonnage de grumes","MERVENT P 23",25,"M3",960.101,2023-12-18,350,8750,245,"ABATTAGE"
"2022-2024","MS32","4501585336",6,8320,832006,30,"04-EXPL-AST01","Abattage-façonnage de grumes","MERVENT P 23",25,"M3",960.101,2024-02-13,610.101,15252.53,246,"ABATTAGE"
"2022-2024","MS34","4501642127",4,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","DEPFOSSA 5 - Abattage",16,"M3",2000,2024-12-06,300,4800,256,"ABATTAGE"
"2022-2024","MS34","4501642127",4,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","DEPFOSSA 5 - Abattage",16,"M3",2000,2025-07-31,500,8000,257,"ABATTAGE"
"2022-2024","MS34","4501642127",4,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","DEPFOSSA 5 - Abattage",16,"M3",2000,2025-09-11,300,4800,258,"ABATTAGE"
"2022-2024","MS34","4501642127",4,8835,883505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","DEPFOSSA 5 - Abattage",16,"M3",2000,2025-11-18,400,6400,259,"ABATTAGE"
"2022-2024","MS37_lot1","4501611621",1,8455,845514,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD ST PRIX P 67",13.5,"M3",670,2024-06-10,200,2700,282,"ABATTAGE"
"2022-2024","MS37_lot1","4501611621",1,8455,845514,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD ST PRIX P 67",13.5,"M3",670,2024-07-11,470,6345,283,"ABATTAGE"
"2022-2024","MS37_lot1","4501611621",1,8455,845514,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BI RX FD ST PRIX P67",13.5,"STR",1713,2024-06-10,350,4725,286,"ABATTAGE"
"2022-2024","MS37_lot1","4501611621",1,8455,845514,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BI RX FD ST PRIX P67",13.5,"STR",1713,2024-07-11,1363,18400.5,287,"ABATTAGE"
"2022-2024","MS37_lot1","4501611621",1,8455,845514,70,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD ST PRIX P 95",17,"M3",127,2024-05-15,127,2159,290,"ABATTAGE"
"2022-2024","MS37_lot1","4501611621",1,8455,845514,90,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BI RX FD ST PRIX P95",17,"STR",138,2024-05-15,138,2346,292,"ABATTAGE"
"2022-2024","MS37_lot2","4501611621",1,8455,845514,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD ST PRIX P 67",13.5,"M3",670,2024-06-10,200,2700,298,"ABATTAGE"
"2022-2024","MS37_lot2","4501611621",1,8455,845514,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD ST PRIX P 67",13.5,"M3",670,2024-07-11,470,6345,299,"ABATTAGE"
"2022-2024","MS37_lot2","4501611621",1,8455,845514,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BI RX FD ST PRIX P67",13.5,"STR",1713,2024-06-10,350,4725,302,"ABATTAGE"
"2022-2024","MS37_lot2","4501611621",1,8455,845514,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BI RX FD ST PRIX P67",13.5,"STR",1713,2024-07-11,1363,18400.5,303,"ABATTAGE"
"2022-2024","MS37_lot2","4501611621",1,8455,845514,70,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD ST PRIX P 95",17,"M3",127,2024-05-15,127,2159,306,"ABATTAGE"
"2022-2024","MS37_lot2","4501611621",1,8455,845514,90,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BI RX FD ST PRIX P95",17,"STR",138,2024-05-15,138,2346,308,"ABATTAGE"
"2022-2024","MS40","4700274497",7,8670,867006,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD MOYENMOUTIER P.63",21.5,"M3",760,2025-09-25,670,14405,316,"ABATTAGE"
"2022-2024","MS40","4700274497",7,8670,867006,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD MOYENMOUTIER P.63",21.5,"M3",760,2025-11-13,250.33,5382.1,317,"ABATTAGE"
"2022-2024","MS41","4501649952",4,8345,834503,30,"04-EXPL-AST01","Abattage-façonnage de grumes","LARFEUIL P 2E-3B-3E",28,"M3",1734,2025-01-22,700,19600,325,"ABATTAGE"
"2022-2024","MS41","4501649952",4,8345,834503,30,"04-EXPL-AST01","Abattage-façonnage de grumes","LARFEUIL P 2E-3B-3E",28,"M3",1734,2025-02-10,900,25200,326,"ABATTAGE"
"2022-2024","MS41","4501649952",4,8345,834503,30,"04-EXPL-AST01","Abattage-façonnage de grumes","LARFEUIL P 2E-3B-3E",28,"M3",1734,2025-03-25,134,3752,327,"ABATTAGE"
"2022-2024","MS44","4501605994",3,8770,877000,30,"04-EXPL-AST01","Abattage-façonnage de grumes","C_2024_JMO_01",12,"M3",430,2024-05-02,280,3360,335,"ABATTAGE"
"2022-2024","MS44","4501605994",3,8770,877000,30,"04-EXPL-AST01","Abattage-façonnage de grumes","C_2024_JMO_01",12,"M3",430,2024-06-18,150,1800,336,"ABATTAGE"
"2022-2024","MS45","4501634356",1,8455,845514,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD PLANOISE 58 59 67 73",8,"M3",1251,2024-10-14,500,4000,342,"ABATTAGE"
"2022-2024","MS45","4501634356",1,8455,845514,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD PLANOISE 58 59 67 73",8,"M3",1251,2024-11-08,300,2400,343,"ABATTAGE"
"2022-2024","MS45","4501634356",1,8455,845514,30,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BO RX FD PLANOISE 58 59 67 73",8,"M3",1251,2024-12-13,451,3608,344,"ABATTAGE"
"2022-2024","MS45","4501634356",1,8455,845514,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BI RX FD PLANOISE 58 59 67 73",11.1,"STR",300,2024-10-14,200,2220,348,"ABATTAGE"
"2022-2024","MS45","4501634356",1,8455,845514,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB BI RX FD PLANOISE 58 59 67 73",11.1,"STR",300,2024-11-08,100,1110,349,"ABATTAGE"
"2022-2024","MS46","4501671426",2,8735,873505,30,"000000000001000383","$ Abattage-Bûcheronnage-Façonnage","Abattage - façonnage - cubage",15,"M3",3840,2025-05-27,430,6450,356,"ABATTAGE"
"2022-2024","MS46","4501671426",2,8735,873505,30,"000000000001000383","$ Abattage-Bûcheronnage-Façonnage","Abattage - façonnage - cubage",15,"M3",3840,2025-06-25,400,6000,357,"ABATTAGE"
"2022-2024","MS46","4501671426",2,8735,873505,30,"000000000001000383","$ Abattage-Bûcheronnage-Façonnage","Abattage - façonnage - cubage",15,"M3",5760,2025-08-28,636.6,9549,358,"ABATTAGE"
"2022-2024","MS47","4501611906",3,8845,884505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GRAND ARC pcl 7 Abattage-façonnage",48,"M3",1815.58,2024-05-24,65,3120,366,"ABATTAGE"
"2022-2024","MS47","4501611906",3,8845,884505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GRAND ARC pcl 7 Abattage-façonnage",48,"M3",1815.58,2024-07-30,500,24000,367,"ABATTAGE"
"2022-2024","MS47","4501611906",3,8845,884505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GRAND ARC pcl 7 Abattage-façonnage",48,"M3",1815.58,2024-10-21,200,9600,368,"ABATTAGE"
"2022-2024","MS47","4501611906",3,8845,884505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GRAND ARC pcl 7 Abattage-façonnage",48,"M3",1815.58,2024-11-06,200,9600,369,"ABATTAGE"
"2022-2024","MS47","4501611906",3,8845,884505,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GRAND ARC pcl 7 Abattage-façonnage",48,"M3",1815.58,2025-01-20,850.58,40827.84,370,"ABATTAGE"
