ACCORD_CADRE;ID_CHANTIER;NUM_SAP;NUM_ETF;AGENCE;CENTRE_PROFIT;POSTE;ARTICLE;LIBELLE_ARTICLE;LIBELLE_POSTE;PU_COMMANDE;UNITE;QUANTITE_COMMANDE;DATE_RECEPTION;QUANTITE_RECEPTION;MONTANT_RECEPTION
2022-2024;MS24_lot2;4501577090;2;8415;841522;30;04-EXPL-CAB01;Câblage, désencr. bois en cours d'expl.;Câblage, désencr. bois en cours d'expl.;2000;M3;10;2024-01-03;3;6000
2022-2024;MS24_lot2;4501577090;2;8415;841522;30;04-EXPL-CAB01;Câblage, désencr. bois en cours d'expl.;Câblage, désencr. bois en cours d'expl.;2000;M3;10;2024-02-26;3;6000
2022-2024;MS24_lot2;4501577090;2;8415;841522;30;04-EXPL-CAB01;Câblage, désencr. bois en cours d'expl.;Câblage, désencr. bois en cours d'expl.;2000;M3;10;2024-04-02;4;8000
2022-2024;MS27;4501589705;4;8450;845009;70;04-EXPL-DBC03;Exploitation - Montage/démontage câble;MISE EN PLACE FD BREUIL P50 - 6800€;6800;U;1;2024-02-13;1;6800
2022-2024;MS27;4501589705;4;8450;845009;80;04-EXPL-DBC03;Exploitation - Montage/démontage câble;MISE EN PLACE FD BREUIL P50 - 2550€;2550;U;2;2024-02-13;1;2550
2022-2024;MS27;4501589705;4;8450;845009;80;04-EXPL-DBC03;Exploitation - Montage/démontage câble;MISE EN PLACE FD BREUIL P50 - 2550€;2550;U;2;2024-02-29;1;2550
2022-2024;MS29;4501583760;3;8425;842536;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Exploitation - Montage/démontage câble;2250;U;2;2023-12-30;2;4500
2022-2024;MS29;4501583760;3;8425;842536;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Exploitation - Montage/démontage câble;2250;U;2;2024-01-29;-2;-4500
2022-2024;MS29;4501583760;3;8425;842536;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Exploitation - Montage/démontage câble;2250;U;4;2024-02-07;2;4500
2022-2024;MS30;4700246171;1;8693;869303;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Exploitation - Montage/démontage câble;1500;U;4;2024-03-22;2;3000
2022-2024;MS30;4700246171;1;8693;869303;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Exploitation - Montage/démontage câble;1500;U;4;2024-04-11;1;1500
2022-2024;MS30;4700246171;1;8693;869303;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Exploitation - Montage/démontage câble;1500;U;4;2024-06-13;1;1500
2022-2024;MS30;4700246171;1;8693;869303;40;04-EXPL-DBC02;Exploitation - Transfert matériel câble;Exploitation - Transfert matériel câble;6000;U;1;2024-03-22;1;6000
2022-2024;MS31_lot1;4501588924;6;8320;832009;40;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;4;2024-02-21;4;6000
2022-2024;MS31_lot1;4501588924;6;8320;832009;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;2;2024-02-21;2;3000
2022-2024;MS31_lot1;4501588924;6;8320;832009;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;3;2024-02-21;3;4500
2022-2024;MS31_lot2;4501588924;6;8320;832009;40;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;4;2024-02-21;4;6000
2022-2024;MS31_lot2;4501588924;6;8320;832009;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;2;2024-02-21;2;3000
2022-2024;MS31_lot2;4501588924;6;8320;832009;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;3;2024-02-21;3;4500
2022-2024;MS31_lot4;4501588924;6;8320;832009;40;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;4;2024-02-21;4;6000
2022-2024;MS31_lot4;4501588924;6;8320;832009;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;2;2024-02-21;2;3000
2022-2024;MS31_lot4;4501588924;6;8320;832009;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;GAVRE P 33-89-98;1500;U;3;2024-02-21;3;4500
2022-2024;MS32;4501585336;6;8320;832006;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;MERVENT P 23;1500;U;7;2023-12-18;4;6000
2022-2024;MS32;4501585336;6;8320;832006;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;MERVENT P 23;1500;U;7;2024-02-13;3;4500
2022-2024;MS33;4501591618;3;8515;851507;10;04-EXPL-DBC03;Exploitation - Montage/démontage câble;MS33 - Exploitation - Montage/démontage;2200;U;4;2024-03-04;4;8800
2022-2024;MS33;4501591618;3;8515;851507;40;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Exploitation - Montage/démontage câble;2200;U;1;2024-03-04;1;2200
2022-2024;MS34;4501642127;4;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;DEPFOSSA 5 - Montage/démontage câble;4300;U;3;2024-12-06;1;4300
2022-2024;MS34;4501642127;4;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;DEPFOSSA 5 - Montage/démontage câble;4300;U;3;2025-07-31;1;4300
2022-2024;MS34;4501642127;4;8835;883505;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;DEPFOSSA 5 - Montage/démontage câble;4300;U;3;2025-09-11;1;4300
2022-2024;MS35;4501599549;4;8345;834503;20;04-EXPL-DBC01;Débardage par câble;FS VALADE ET LA CHANSELVE P 2-3;2320;U;11;2024-03-12;2;4640
2022-2024;MS35;4501599549;4;8345;834503;20;04-EXPL-DBC01;Débardage par câble;FS VALADE ET LA CHANSELVE P 2-3;2320;U;11;2024-03-26;2;4640
2022-2024;MS35;4501599549;4;8345;834503;20;04-EXPL-DBC01;Débardage par câble;FS VALADE ET LA CHANSELVE P 2-3;2320;U;11;2024-04-30;2;4640
2022-2024;MS35;4501599549;4;8345;834503;20;04-EXPL-DBC01;Débardage par câble;FS VALADE ET LA CHANSELVE P 2-3;2320;U;11;2024-05-16;2;4640
2022-2024;MS35;4501599549;4;8345;834503;20;04-EXPL-DBC01;Débardage par câble;FS VALADE ET LA CHANSELVE P 2-3;2320;U;11;2024-06-24;3;6960
2022-2024;MS37_lot1;4501611621;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD ST PRIX;1700;U;7;2024-05-15;2;3400
2022-2024;MS37_lot1;4501611621;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD ST PRIX;1700;U;7;2024-06-10;1;1700
2022-2024;MS37_lot1;4501611621;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD ST PRIX;1700;U;7;2024-07-11;4;6800
2022-2024;MS37_lot2;4501611621;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD ST PRIX;1700;U;7;2024-05-15;2;3400
2022-2024;MS37_lot2;4501611621;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD ST PRIX;1700;U;7;2024-06-10;1;1700
2022-2024;MS37_lot2;4501611621;1;8455;845514;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE/DEMONTAGE - FD ST PRIX;1700;U;7;2024-07-11;4;6800
2022-2024;MS38;4501595952;3;8355;835509;20;04-EXPL-DBC01;Débardage par câble;CHATEAUROUX P 221;2800;U;6;2024-02-20;3;8400
2022-2024;MS38;4501595952;3;8355;835509;20;04-EXPL-DBC01;Débardage par câble;CHATEAUROUX P 221;2800;U;6;2024-04-04;3;8400
2022-2024;MS41;4501649952;4;8345;834503;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;LARFEUIL P 2E-3B-3E;2650;U;4;2025-01-22;1;2650
