ID_CHANTIER,ACCORD_CADRE,NUM_ETF,TYPE_OP,DATE_RECEPTION,QUANTITE_RECEPTION,DATE_PREC,JOURS_CALENDAIRES,JOURS_TRAVAILLES,VITESSE_MOY_JOUR_M3,TYPE_VITESSE,JOURS_TRAVAILLES_AVEC_MONTAGE,VOL_REF,TYPE_CHANTIER,ANNEE,VOL_TOT_ANNUEL_M3,NB_CHANTIERS,debut,fin
MS64,2022-2024,4,CVar_CABLE_ABATTAGE,2025-05-21,109,2025-04-24,27,19.285714285714285,5.651851851851852,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS7,2025,11,CVar_CABLE_ABATTAGE,2025-09-02,700,2025-07-10,54,38.57142857142857,18.14814814814815,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS7,2025,11,CVar_CABLE_ABATTAGE,2025-11-06,600,2025-09-02,65,46.42857142857143,12.923076923076923,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS7,2025,11,CVar_CABLE_ABATTAGE,2025-12-12,2385.3500000000004,2025-11-06,36,25.714285714285715,92.76361111111112,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS3,2022-2024,NA,NA,NA,NA,NA,NA,60.28571428571429,33.37125592417061,inter_chantier,84.28571428571429,2011.81,Plaine,NA,NA,NA,NA,NA
MS4,2022-2024,NA,NA,NA,NA,NA,NA,24.571428571428573,32.55813953488372,inter_chantier,28.571428571428573,800,Plaine,NA,NA,NA,NA,NA
MS5,2022-2024,NA,NA,NA,NA,NA,NA,13.142857142857142,50.98586956521739,inter_chantier,17.142857142857142,670.1,Montagne,NA,NA,NA,NA,NA
MS10_lot1,2022-2024,NA,NA,NA,NA,NA,NA,60.57142857142857,44.20318396226415,inter_chantier,78.57142857142857,2677.45,Montagne,NA,NA,NA,NA,NA
MS10_lot2,2022-2024,NA,NA,NA,NA,NA,NA,46,94.56521739130434,inter_chantier,60,4350,Montagne,NA,NA,NA,NA,NA
MS18,2022-2024,NA,NA,NA,NA,NA,NA,52.57142857142857,48.60967391304348,inter_chantier,88.57142857142857,2555.48,Montagne,NA,NA,NA,NA,NA
MS19_lot2,2022-2024,NA,NA,NA,NA,NA,NA,44.142857142857146,33.78508090614886,inter_chantier,52.142857142857146,1491.37,Montagne,NA,NA,NA,NA,NA
MS20,2022-2024,NA,NA,NA,NA,NA,NA,21.857142857142858,43.18954248366013,inter_chantier,27.857142857142858,944,Montagne,NA,NA,NA,NA,NA
MS22,2022-2024,NA,NA,NA,NA,NA,NA,34.285714285714285,26.25,inter_chantier,44.285714285714285,900,Montagne,NA,NA,NA,NA,NA
MS23,2022-2024,NA,NA,NA,NA,NA,NA,57.57142857142857,34.878411910669975,inter_chantier,73.57142857142857,2008,Plaine,NA,NA,NA,NA,NA
MS24_lot1,2022-2024,NA,NA,NA,NA,NA,NA,35.285714285714285,27.263157894736842,inter_chantier,39.285714285714285,962,Plaine,NA,NA,NA,NA,NA
MS24_lot2,2022-2024,NA,NA,NA,NA,NA,NA,69.57142857142857,28.862422997946613,inter_chantier,73.57142857142857,2008,Plaine,NA,NA,NA,NA,NA
MS27,2022-2024,NA,NA,NA,NA,NA,NA,26.857142857142858,48.59936170212766,inter_chantier,32.857142857142854,1305.24,Plaine,NA,NA,NA,NA,NA
MS29,2022-2024,NA,NA,NA,NA,NA,NA,59.57142857142857,14.427218225419665,inter_chantier,63.57142857142857,859.45,Plaine,NA,NA,NA,NA,NA
MS30,2022-2024,NA,NA,NA,NA,NA,NA,52.714285714285715,23.02981029810298,inter_chantier,60.714285714285715,1214,Plaine,NA,NA,NA,NA,NA
MS31_lot1,2022-2024,NA,NA,NA,NA,NA,NA,7.7142857142857135,161.55714814814817,inter_chantier,15.714285714285714,1246.298,Plaine,NA,NA,NA,NA,NA
MS31_lot2,2022-2024,NA,NA,NA,NA,NA,NA,11.714285714285714,106.39129268292683,inter_chantier,15.714285714285714,1246.298,Plaine,NA,NA,NA,NA,NA
MS31_lot4,2022-2024,NA,NA,NA,NA,NA,NA,9.714285714285714,128.29538235294117,inter_chantier,15.714285714285714,1246.298,Plaine,NA,NA,NA,NA,NA
MS32,2022-2024,NA,NA,NA,NA,NA,NA,27.42857142857143,35.003682291666664,inter_chantier,41.42857142857143,960.101,Plaine,NA,NA,NA,NA,NA
