"ID_CHANTIER","ACCORD_CADRE","DEP","FRT","NUM_ETF","DEBUT_CHANTIER","FIN_CHANTIER","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","LONGUEUR_MOY","VOL_REEL_ABA_M3","COUT_ABA_M3","VOL_REEL_DEB_M3","COUT_DEB_M3","VOL_REEL_ABADEB_M3","COUT_ABADEB_M3","VOL_REF","COUT_MONTAGE_M3","COUT_MONTAGE_TOTAL","COUT_TRANSFERT_M3","COUT_TRANSFERT_TOTAL","COUT_VARIABLES_M3","COUT_VARIABLES_TOT","COUT_FIXES_M3","COUT_FIXES_TOT","TARIF_PRESTA_M3","TARIF_PRESTA_SANS_ABA_M3","TARIF_PRESTA_SANS_TRANSFERT_M3","TARIF_PRESTA_SANS_ABA_TRANSFERT_M3","NB_GRUMES","DIAM_MOY","VOL_MOYEN_GRUME","G_TOT_CUT","ESSENCE_MAJ","VOL_HA_MOY","HA_DES_TOT","FAMILLE_COUPE","PEUPLEMENT_STR","ALTITUDE_MOY","PENTE_MOY","ALTITUDE_CENTROIDE","TYPE_CHANTIER"
"MS55","2022-2024","76","Forêt domaniale indivise d'Eu",3,2024-12-16,2025-05-26,2800,6,395,690,542.5,826.79,11.3000036284909,1532.16,17,NA,NA,1532.16,12.3355263157895,18900,5.22138680033417,8000,28.3000036284909,43360.1335594286,17.5569131161236,26900,45.8569167446146,34.5569131161237,40.6355299442804,29.3355263157895,1223,47.5715453802126,2.10165331152902,236.846999999999,"Epicéa commun",78.215,40.56,"Famille Amélioration","futaie régulière",101.254928588867,7.04259061813354,96.4000015258789,"Plaine"
"MS57","2022-2024","39","Forêt domaniale de Chaux",8,2025-05-11,2026-02-05,2525,13,250,480,365,1893,14,1543,13,NA,NA,1543,10.3694102397926,16000,0,0,27,41661,10.3694102397926,16000,37.3694102397926,23.3694102397926,37.3694102397926,23.3694102397926,1307,41.4728385615914,1.23399311400153,211.62,"Hêtre",66.9133333333333,44.79,"Famille Régénération","Futaie sur souche ou TSF en conversion",250.075180053711,2.18206977844238,247.369995117188,"Plaine"
"MS59_lot1","2022-2024","44","Forêt domaniale du Gâvre",10,NA,NA,625,2,390,540,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,47.4660633484163,2.09298190045249,40.4660000000001,"Chêne sessile ou pédonculé",73.75,8.48,"Famille Régénération","futaie régulière",34.704647064209,0.346355259418488,34.5999984741211,"Plaine"
"MS59_lot2","2022-2024","44","Forêt domaniale du Gâvre",10,NA,NA,331,2,370,390,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,31.3173652694611,0.947494011976048,31.128,"Hêtre",95.49,4.69,"Famille Régénération","futaie régulière",41.4804763793945,0.634966790676117,42.2000007629395,"Plaine"
"MS60","2022-2024","08","Forêt domaniale de Signy-L'Abbaye",2,2024-12-05,2025-06-02,2320,10,240,470,355,NA,NA,1960,18,NA,NA,1960,13.9285714285714,27300,6.53061224489796,12800,NA,NA,20.4591836734694,40100,NA,38.4591836734694,NA,31.9285714285714,331,47.4924471299094,1.99081570996979,65.6419999999999,"Frêne commun",20.748,33.7,"Famille Amélioration","Futaie sur souche ou TSF en conversion",211.898376464844,9.05131244659424,199.740005493164,"Plaine"
"MS61","2022-2024","39","Forêt domaniale de Chaux",8,2024-11-28,2025-10-03,2500,11,180,400,290,3004,16,3004,14,NA,NA,3004,7.68974700399467,23100,0.99866844207723,3000,30,90120,8.6884154460719,26100,38.6884154460719,22.6884154460719,37.6897470039947,21.6897470039947,2620,44.4790076335878,1.37701183206105,476.597000000001,"Chêne sessile ou pédonculé",0.245,26111.12,"Famille Coupes Produits Accidentels","futaie régulière",249.117889404297,1.9913741350174,246.979995727539,"Plaine"
"MS64","2022-2024","63","Forêt domaniale de Guery",4,2025-03-06,2025-05-21,1300,12,125,430,277.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21900,NA,NA,NA,NA,NA,NA,NA,NA,9117,25.6065591751673,0.426640013162226,500.362,"Epicéa commun",72.6266666666667,58.66,"Famille Amélioration","futaie régulière",1257.49938964844,16.3493328094482,1253.19995117188,"Montagne"
"MS1","2025","63","Forêt domaniale de Eclache",4,2025-04-28,2025-04-28,298,1,340,340,340,262,19.5,262,8.5,NA,NA,262,9.54198473282443,2500,0.944656488549618,247.5,28,7336,10.486641221374,2747.5,38.486641221374,18.986641221374,37.5419847328244,18.0419847328244,807,23.7174721189591,0.369079306071871,38.618,"Epicéa commun",261.35,1.44,"Famille Régénération","futaie régulière",966.05126953125,3.97874927520752,966.799987792969,"Montagne"
"MS2","2025","43","Forêt domaniale de Mezenc",4,2025-07-01,2025-12-11,1190,2,260,420,340,885.363,13.3999952561831,885.363,20,NA,NA,885.363,6.77688134697294,6000,2.23637084450107,1980,33.3999952561831,29571.12,9.01325219147401,7980,42.4132474476571,29.013252191474,40.176876603156,26.7768813469729,967,34.8862461220269,1.22481282316442,107.287,"Epicéa commun",249.11,5.34,"Famille Régénération","futaie régulière",1313.72778320312,9.49043464660645,1312.64001464844,"Montagne"
"MS3","2025","43","Forêt communale de Lantriac",4,2025-10-28,2025-10-28,470,3,125,230,177.5,450,5.5,450,15,NA,NA,450,13.3333333333333,6000,5.14888888888889,2317,20.5,9225,18.4822222222222,8317,38.9822222222222,33.4822222222222,33.8333333333333,28.3333333333333,701,30.0784593437946,0.670718972895868,54.2429999999998,"Epicéa commun",385.13,1.57,"Famille Régénération","futaie régulière",1001.01300048828,10.9915857315063,988.75,"Montagne"
