"ID_CHANTIER","DEP","FRT","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","COUT_DEB_M3","COUT_ABA_M3","COUT_MONTAGE_TOTAL","COUT_MONTAGE_M3","COUT_TRANSFERT_TOTAL","VOL_REEL_M3","COUT_TRANSFERT_M3","DIAM_MOY","VOL_MOYEN_GRUME","PRIX_VENTE_MOY","NB_GRUMES","G_TOT_MOY","VOL_HA_MOY","HA_DES_TOT","NB_TIGES_CONT","ESSENCE_DOM","PEUPLEMENT_MODE","DEBUT_CHANTIER","FIN_CHANTIER","DEBUT_PREVU","FIN_PREVU","NB_LIGNES_TOTAL","JOURS_TOTAL","JOURS_EFFECTIFS","COUT_VARIABLES_M3","COUT_FIXES_M3","TARIF_PRESTA_M3","LONGUEUR_MOY","altitude_centroide","altitude_moy","pente_moy","VITESSE_DEBARDAGE_M3_JOUR"
"MS55","76","Forêt domaniale indivise d'Eu",2800,6,395,690,17,11.3000036284909,18900,8.01203925475317,8000,2358.95,3.39133936709129,42.5240549828178,1.95589762489762,128.588338645472,1222,49.6151428571429,77.0671428571429,61.24,1846,"CHENES INDIGENES","futaie régulière",20073,20234,20031,20162,6,162,107.142857142857,28.3000036284909,11.4033786218445,39.7033822503354,542.5,132.100006103516,388.358184814453,8.37768268585205,22.0168666666667
"MS57","39","Forêt domaniale de Chaux",2525,13,250,480,13,14,16000,4.65657741559953,0,3436,0,47.1471442400774,1.96634611697028,79.0428025477707,1046,35.2565,66.9133333333333,44.79,1307,"Chêne en mélange","Futaie sur souche ou TSF en conversion",20219,20489,19982,20193,13,271,175,27,4.65657741559953,31.6565774155995,365,247.369995117188,250.075180053711,2.18206977844238,19.6342857142857
"MS59_lot1","44","Forêt domaniale du Gâvre",625,2,390,540,NA,NA,NA,NA,NA,NA,NA,42.4837476099427,1.19339923954373,166.089657794677,526,40.46,73.75,8.48,221,"CHENES INDIGENES","futaie régulière",NA,NA,20017,20162,2,146,101.428571428571,NA,NA,NA,465,34.5999984741211,34.704647064209,0.346355259418488,NA
"MS59_lot2","44","Forêt domaniale du Gâvre",331,2,370,390,NA,NA,NA,NA,NA,NA,NA,42.4837476099427,1.19339923954373,166.089657794677,526,31.125,95.49,4.69,334,"CHENES INDIGENES","futaie régulière",NA,NA,20017,20162,2,146,101.428571428571,NA,NA,NA,380,42.2000007629395,41.4804763793945,0.632548093795776,NA
"MS60","08","Forêt domaniale de Signy-L'Abbaye",2320,10,240,470,18,NA,27300,13.9285714285714,12800,1960,6.53061224489796,45.8439306358381,2.2494648,192.711917319665,1251,17.8915,28.4516666666667,43.7,684,"Chêne en mélange","Futaie sur souche ou TSF en conversion",20062,20241,20045,20162,10,180,114.285714285714,NA,20.4591836734694,NA,355,206.800003051758,305.477325439453,7.03309106826782,17.15
"MS61","39","Forêt domaniale de Chaux",2500,11,180,400,14,15.1438356164384,23100,3.54947756607253,3000,6508,0.460971112476951,50.3692528735632,1.65163497372193,194.39865576936,2094,185.819666666667,100.35,26113.6,4470,"Chênes>50% et Hêtres 20/50%","futaie régulière",20055,20364,19982,20193,11,310,205.714285714286,29.1438356164384,4.01044867854948,33.1542842949878,290,238.279998779297,253.811447143555,2.00980663299561,31.6361111111111
"MS64","63","Forêt domaniale de Guery",1300,12,125,430,NA,25.5,NA,NA,21900,965,22.6943005181347,NA,71.2208679245283,4510.00326923077,54,166.785666666667,72.6266666666667,58.66,9117,"EPICEA COMMUN","futaie régulière",20153,20229,20318,20558,12,77,37.8571428571429,NA,NA,NA,277.5,1253.19995117188,1257.49938964844,16.3493328094482,25.4905660377358
"MS1","63","Forêt domaniale de Eclache",298,1,340,340,8.5,19.5,2500,4.77099236641221,247.5,524,0.472328244274809,NA,23.1266363636364,1240.31727272727,11,38.618,261.35,1.44,807,"EPICEA COMMUN","futaie régulière",20206,20206,20269,20543,1,1,-0.714285714285714,28,5.24332061068702,33.243320610687,340,966.799987792969,966.05126953125,3.97874927520752,NA
"MS2","43","Forêt domaniale de Mezenc",1190,2,260,420,20,13.3999952561831,6000,3.38844067348647,1980,1770.726,1.11818542225053,NA,3.30120479704797,119.299014869888,542,107.292,249.11,5.34,967,"EPICEA COMMUN","futaie régulière",20270,20433,20255,20407,2,164,114.285714285714,33.3999952561831,4.506626095737,37.9066213519201,340,1312.64001464844,1313.72778320312,9.49043464660645,15.4938525
"MS3","43","Forêt communale de Lantriac",470,3,125,230,29.3322316313382,5.5,6000,1.80355607150619,2317,3326.761,0.696473236279973,53.6044776119404,2.03070218772054,199.141993351983,1418,35.9928571428571,104.374285714286,44.86,2215,"AUTRES FEUILLUS","Futaie sur souche ou TSF en conversion",19376,20389,19329,20407,15,1014,702.857142857143,34.8322316313382,2.50002930778616,37.3322609391243,177.5,193,377.892395019531,3.12737560272217,4.73319654471545
"MS7","59","Forêt domaniale de Bois-L'Evêque",2713,3,200,560,14.5000014769522,13,9000,0.984844339880724,11960.05,9138.5,1.30875417191005,37.206106870229,13.4596651982379,727.95817551963,454,100.752333333333,130.856666666667,31.98,1608,"AUTRES RESINEUX","futaie régulière",20279,20434,20178,20346,3,156,107.142857142857,27.5000014769522,2.29359851179078,29.7935999887429,380,164.199996948242,219.502349853516,2.08821129798889,85.2926666666667
"MS11","25","Forêt communale de La-Chenalotte",1233,7,150,310,21,8,18149,6.82293233082707,NA,2660,NA,42.890756302521,18.5025503355705,4988.0925,149,67.327,154.0675,29.28,2586,"EPICEA COMMUN","futaie irrégulière",20319,20381,20283,20361,7,63,35,29,NA,NA,230,210.690002441406,1215.12475585938,26.6413173675537,76
"MS12","25","Forêt communale de Berthelange",425,1,490,490,20,8.5,2750,2.14341387373344,495,1283,0.385814497272019,NA,110.920833333333,6495.862,7,38.4906666666667,213.56,8.79,1723,"SAPIN PECTINE","futaie régulière",20250,20353,20164,20269,1,104,72.8571428571429,28.5,2.52922837100546,31.0292283710055,490,519.289978027344,750.901794433594,12.8455572128296,17.6098039215686
"MS15_lot1","67","Forêt domaniale de La Vancelle",500,4,320,440,16.6634993959207,NA,29600,7.01205789685642,1237.5,4221.3,0.293156136735129,32.989837398374,5.4624039408867,748.719407407407,609,39.443,55.05,9.01,248,"Sapin et/ou épicéa> 50% et autres résineux 20/50%","futaie régulière",20326,20410,20150,20453,4,85,55,NA,7.30521403359155,NA,380,624.200012207031,618.67724609375,26.6384792327881,76.7509090909091
"MS15_lot2","67","Forêt domaniale de La Vancelle",1350,10,115,430,16.6634993959207,NA,29600,7.01205789685642,1237.5,4221.3,0.293156136735129,32.989837398374,5.4624039408867,748.719407407407,609,62.6395,51.69,29.81,921,"Sapin et/ou épicéa> 50% et autres résineux 20/50%","futaie régulière",20326,20410,20150,20453,10,85,46.4285714285714,NA,7.30521403359155,NA,272.5,637.539978027344,636.538452148438,28.8698501586914,90.9203076923077
"MS18","25","Forêt domaniale de Levier Jura",834,3,180,220,19.4728027869054,12.5054397935262,27800,3.60868321875331,1690,7703.641,0.219376785600471,35.5008688097307,2.31076319018405,155.378090303479,2445,66.2734,140.818,42.91,1901,"SAPIN PECTINE","futaie régulière",19627,20285,19800,20422,21,659,440.714285714286,31.9782425804316,3.82806000435379,35.8063025847854,200,444.850006103516,827.085998535156,22.7915630340576,17.479898541329
"MS20","63","Forêt domaniale de Guery",950,6,100,370,16.065337628396,13.3855223971312,14100,4.28493283899593,2700,3290.6,0.820519054275816,NA,3.70155295566502,214.793444444444,812,117.18725,79.025,53.36,6892,"EPICEA COMMUN","futaie régulière",19891,20290,19590,20453,9,400,272.857142857143,29.4508600255273,5.10545189327174,34.556311918799,235,1118.69995117188,1239.36047363281,13.4433193206787,12.0597905759162
