ACCORD_CADRE,ID_CHANTIER,NUM_SAP,NUM_ETF,AGENCE,CENTRE_PROFIT,POSTE,ARTICLE,LIBELLE_ARTICLE,LIBELLE_POSTE,PU_COMMANDE,UNITE,QUANTITE_COMMANDE,DATE_RECEPTION,QUANTITE_RECEPTION,MONTANT_RECEPTION,ID_LIGNE,TYPE_TRAVAUX
2022-2024,MS24_lot1,4501576333,2,8415,841522,50,04-EXPL-CAB01,"Câblage, désencr. bois en cours d'expl.","Câblage, désencr. bois en cours d'expl.",2000,M3,2,2024-01-19,1,2000,NA,MONTAGE
2022-2024,MS24_lot1,4501576333,2,8415,841522,50,04-EXPL-CAB01,"Câblage, désencr. bois en cours d'expl.","Câblage, désencr. bois en cours d'expl.",2000,M3,2,2024-02-08,1,2000,NA,MONTAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,30,04-EXPL-CAB01,"Câblage, désencr. bois en cours d'expl.","Câblage, désencr. bois en cours d'expl.",2000,M3,10,2024-01-03,3,6000,NA,MONTAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,30,04-EXPL-CAB01,"Câblage, désencr. bois en cours d'expl.","Câblage, désencr. bois en cours d'expl.",2000,M3,10,2024-02-26,3,6000,NA,MONTAGE
2022-2024,MS24_lot2,4501577090,2,8415,841522,30,04-EXPL-CAB01,"Câblage, désencr. bois en cours d'expl.","Câblage, désencr. bois en cours d'expl.",2000,M3,10,2024-04-02,4,8000,NA,MONTAGE
2022-2024,MS27,4501589705,4,8450,845009,70,04-EXPL-DBC03,Exploitation - Montage/démontage câble,MISE EN PLACE FD BREUIL P50 - 6800€,6800,U,1,2024-02-13,1,6800,NA,MONTAGE
2022-2024,MS27,4501589705,4,8450,845009,80,04-EXPL-DBC03,Exploitation - Montage/démontage câble,MISE EN PLACE FD BREUIL P50 - 2550€,2550,U,2,2024-02-13,1,2550,NA,MONTAGE
2022-2024,MS27,4501589705,4,8450,845009,80,04-EXPL-DBC03,Exploitation - Montage/démontage câble,MISE EN PLACE FD BREUIL P50 - 2550€,2550,U,2,2024-02-29,1,2550,NA,MONTAGE
2022-2024,MS29,4501583760,3,8425,842536,50,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Exploitation - Montage/démontage câble,2250,U,2,2023-12-30,2,4500,NA,MONTAGE
2022-2024,MS29,4501583760,3,8425,842536,50,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Exploitation - Montage/démontage câble,2250,U,2,2024-01-29,-2,-4500,NA,MONTAGE
2022-2024,MS29,4501583760,3,8425,842536,50,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Exploitation - Montage/démontage câble,2250,U,4,2024-02-07,2,4500,NA,MONTAGE
2022-2024,MS30,4700246171,1,8693,869303,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Exploitation - Montage/démontage câble,1500,U,4,2024-03-22,2,3000,NA,MONTAGE
2022-2024,MS30,4700246171,1,8693,869303,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Exploitation - Montage/démontage câble,1500,U,4,2024-04-11,1,1500,NA,MONTAGE
2022-2024,MS30,4700246171,1,8693,869303,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,Exploitation - Montage/démontage câble,1500,U,4,2024-06-13,1,1500,NA,MONTAGE
2022-2024,MS30,4700246171,1,8693,869303,40,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Exploitation - Transfert matériel câble,6000,U,1,2024-03-22,1,6000,NA,MONTAGE
2022-2024,MS31_lot1,4501588924,6,8320,832009,40,04-EXPL-DBC03,Exploitation - Montage/démontage câble,GAVRE P 33-89-98,1500,U,4,2024-02-21,4,6000,NA,MONTAGE
2022-2024,MS31_lot1,4501588924,6,8320,832009,50,04-EXPL-DBC03,Exploitation - Montage/démontage câble,GAVRE P 33-89-98,1500,U,2,2024-02-21,2,3000,NA,MONTAGE
2022-2024,MS31_lot1,4501588924,6,8320,832009,60,04-EXPL-DBC03,Exploitation - Montage/démontage câble,GAVRE P 33-89-98,1500,U,3,2024-02-21,3,4500,NA,MONTAGE
2022-2024,MS31_lot2,4501588924,6,8320,832009,40,04-EXPL-DBC03,Exploitation - Montage/démontage câble,GAVRE P 33-89-98,1500,U,4,2024-02-21,4,6000,NA,MONTAGE
